번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
56,1987,유재하,사랑하기 때문에,,유재하,사랑하기 때문에,사랑하기 때문에,1987,2026-08-28 15:25
57,1987,유재하,지난날,,유재하,지난날,사랑하기 때문에,1987,2026-08-28 15:25
58,1987,이문세,그녀의 웃음소리뿐,,이문세,그녀의 웃음소리뿐,이문세 4집,1987,2026-08-28 15:25
59,1987,이문세,깊은 밤을 날아서,,이문세,깊은 밤을 날아서,이문세 4집,1987,2026-08-28 15:25
60,1987,이문세,사랑이 지나가면,,이문세,사랑이 지나가면,이문세 4집,1987,2026-08-28 15:25
61,1987,이문세,이별 이야기,,이문세,이별이야기 (with 고은희),이문세 4집,1987,2026-08-28 15:25
62,1987,이지연,난 사랑을 아직 몰라,,이지연,난 사랑을 아직 몰라,그 후론,1989,2026-08-28 15:25
63,1987,전인권,사랑한 후에,,전인권 & 허성욱,사랑한 후에,1979-1987 추억 들국화,1987,2026-08-28 15:25
64,1987,최성수,동행,,최성수,동행,"2집 동행, 해후",1987,2026-08-28 15:25
65,1988,동물원,혜화동,,동물원,혜화동,동물원 2집,1988,2026-08-28 15:25
66,1988,무한궤도,그대에게,,무한궤도,그대에게,88 MBC 대학가요제,1988,2026-08-28 15:25
67,1988,박남정,널 그리며,,박남정,널 그리며,널 그리며,1988,2026-08-28 15:25
68,1988,변진섭,홀로된다는 것,,변진섭,홀로 된다는 것,홀로 된다는 것,1989,2026-08-28 15:25
69,1988,이문세,가로수 그늘 아래 서면,,이문세,가로수 그늘아래 서면,5집,1988,2026-08-28 15:25
70,1988,이문세,광화문 연가,,이문세,광화문 연가,5집,1988,2026-08-28 15:25
71,1988,이문세,붉은 노을,,이문세,붉은 노을,5집,1987,2026-08-28 15:25
72,1988,이상우,슬픈 그림 같은 사랑,,이상우,슬픈 그림같은 사랑,그녀를 만나는 곳 100m 전,1989,2026-08-28 15:25
73,1988,정수라,환희,,정수라,환희,가요산책 2,1994,2026-08-28 15:25
74,1988,조용필,서울 서울 서울,,조용필,서울 서울 서울,88 Cho Yong Pil 10th,1988,2026-08-28 15:25
75,1988,주현미,신사동 그 사람,,주현미,신사동 그사람,주현미 2집,1990,2026-08-28 15:25
76,1989,나미,인디언 인형처럼,Like an Indian Doll,나미,Like an Indian Doll,아무말 않으리,1989,2026-08-28 15:25
77,1989,변진섭,너에게로 또 다시,,변진섭,너에게로 또 다시,너에게로 또 다시,1989,2026-08-28 15:25
78,1989,변진섭,숙녀에게,,변진섭,숙녀에게,너에게로 또 다시,1989,2026-08-28 15:25
79,1989,변진섭,우리의 사랑이 필요한 거죠,,변진섭,우리의 사랑이 필요한거죠 (불우청소년을 위한 노래),너에게로 또 다시,1989,2026-08-28 15:25
80,1989,변진섭,희망사항,,변진섭,희망사항,너에게로 또 다시,1989,2026-08-28 15:25
81,1989,이승철,마지막 콘서트,,이승철,마지막 콘서트,Part 2,1989,2026-08-28 15:25
82,1989,이승철,소녀시대,,이승철,소녀시대,Part 2,1989,2026-08-28 15:25
83,1989,이승철,안녕이라고 말하지마,,이승철,안녕이라고 말하지마,HIT BANK,1989,2026-08-28 15:25
84,1989,이승철,잠도 오지 않는 밤에,,이승철,잠도 오지 않는 밤에,안녕이라고 말하지마,1988,2026-08-28 15:25
85,1989,이승환,텅 빈 마음,,이승환,텅 빈 마음,B.C 603,1989,2026-08-28 15:25
86,1989,이지연,바람아 멈추어다오,,이지연,바람아 멈추어다오,그 후론,1989,2026-08-28 15:25
87,1989,조용필,Q,,조용필,Q,"Q (10th, Pt. 2)",1989,2026-08-28 15:25
88,1989,주현미,짝사랑,,주현미,짝사랑,리듬파티 1집,1987,2026-08-28 15:25
89,1989,푸른하늘,겨울바다,,푸른하늘,겨울바다,푸른하늘 2집 (눈물나는 날에는),1989,2026-08-28 15:25
