번호,첫방영연도,작품,배역,배우,곡명,가수,iTunes가수,iTunes곡명,음반,음반연도,판
36,2006,주몽,주몽 · 소서노,송일국 · 한혜진,하늘이여 제발,인순이,인순이,"하늘이여 제발 (From ""주몽"")",Drama Original Soundtrack Collection : 뒷걸음,,2026-08-28 14:20
37,2006,환상의 커플,나상실 · 장철수,한예슬 · 오지호,괜히 나만 미워해,베니,베니,괜히 나만 미워해,환상의 커플 (Original Television Soundtrack),,2026-08-28 14:20
38,2006,황진이,황진이 · 김은호,하지원 · 장근석,꽃날,서웅석,서웅석,꽃날,황진이 (Original Television Soundtrack),,2026-08-28 14:20
39,2007,개와 늑대의 시간,이수현 · 서지우,이준기 · 남상미,Foolish Heart,이수,이수,Foolish Heart,개와늑대의시간 TIME BETWEEN DOG AND WOLF,,2026-08-28 14:20
40,2007,뉴하트,이은성 · 남혜석,지성 · 김민정,내겐 사랑하나…,타루,타루,내겐 사랑하나…,뉴하트 (Original Soundtrack),,2026-08-28 14:20
41,2007,메리대구 공방전,강대구 · 황메리,지현우 · 이하나,One & One,지현우,지현우,One & One,메리 대구 공방전 (Original Television Soundtrack),,2026-08-28 14:20
42,2007,이산,이산 · 성송연,이서진 · 한지민,소녀,임세현,임세현,소녀,이산 - 적주용명수 (Original Soundtrack),,2026-08-28 14:20
43,2007,쩐의 전쟁,금나라 · 서주희,박신양 · 박진희,일년을 하루같이,바비킴,바비킴,일년을 하루같이,쩐의전쟁 the Original (Original Television Soundtrack) - EP,,2026-08-28 14:20
44,2007,커피프린스 1호점,최한결 · 고은찬,공유 · 윤은혜,커피 한잔 어때? (feat. 요조),허밍어반스테레오,허밍어반스테레오,커피 한잔 어때? (feat. 요조),커피프린스 1호점 (Original Television Soundtrack),,2026-08-28 14:20
45,2008,베토벤 바이러스,강마에 · 두루미,김명민 · 이지아,들리나요...,태연,태연,들리나요...,베토벤 바이러스 (Original Television Soundtrack),,2026-08-28 14:20
46,2008,에덴의 동쪽,이동철 · 국영란,송승헌 · 이연희,운명을 거슬러,SG Wannabe,SG Wannabe,운명을 거슬러,에덴의 동쪽 (Original Soundtrack),,2026-08-28 14:20
47,2008,일지매,이겸 · 은채,이준기 · 한효주,화신,박효신,박효신,화신,일지매 (Original Television Soundtrack),,2026-08-28 14:20
48,2008,쾌도 홍길동,홍길동 · 허이녹,강지환 · 성유리,만약에,태연,태연,만약에,쾌도 홍길동 (Original Television Soundtrack),,2026-08-28 14:20
49,2008,타짜,고니 · 난숙,장혁 · 한예슬,Reason (Male ver.),바비킴,바비킴,Reason (Male ver.),타짜 (Original TV Soundtrack),,2026-08-28 14:20
50,2009,꽃보다 남자,구준표 · 금잔디,이민호 · 구혜선,Stand By Me,SHINee,SHINee,Stand By Me,꽃보다 남자 (Original Television Soundtrack),,2026-08-28 14:20
51,2009,내조의 여왕,천지애 · 온달수,김남주 · 오지호,여우랍니다,이수영,이수영,여우랍니다,내조의 여왕 (Original Television Soundtrack) [Deluxe],,2026-08-28 14:20
52,2009,미남이시네요,황태경 · 고미남,장근석 · 박신혜,여전히,이홍기,이홍기,여전히,미남이시네요 (Original Television Soundtrack),,2026-08-28 14:20
53,2009,선덕여왕,덕만 · 미실,이요원 · 고현정,바람꽃,아이유,아이유,바람꽃,선덕여왕 (Original Television Soundtrack),,2026-08-28 14:20
54,2009,스타일,박기자 · 서우진,김혜수 · 류시원,죽기 아니면 살기,바비킴,바비킴,죽기 아니면 살기,드림 Dream (SBS 월화드라마) [Original Television Soundtrack],,2026-08-28 14:20
55,2009,시티홀,조국 · 신미래,차승원 · 김선아,불안한 사랑,호란,호란,불안한 사랑,시티홀 City Hall (SBS 수목드라마) [Original Television Soundtrack],,2026-08-28 14:20
56,2009,아가씨를 부탁해,강혜나 · 동찬,윤은혜 · 윤상현,마음을 부탁해,정재욱,정재욱,마음을 부탁해,아가씨를 부탁해 (Original Television Soundtrack) - EP,,2026-08-28 14:20
57,2009,찬란한 유산,선우환 · 고은성,이승기 · 한효주,내 가슴에 사는 사람,이수,이수,내 가슴에 사는 사람,SBS 드라마 찬란한 유산 (Original Television Soundtrack),,2026-08-28 14:20
58,2010,검사 프린세스,마혜리 · 서인우,김소연 · 박시후,Fly High,샤이니,SHINee,Fly High,검사 프린세스 (Original Sound Track),,2026-08-28 14:20
59,2010,동이,동이 · 숙종,한효주 · 지진희,천애지아,장나라,장나라,천애지아,동이 (Original Television Soundtrack),,2026-08-28 14:20
60,2010,성균관 스캔들,이선준 · 김윤희,박유천 · 박민영,찾았다,JYJ,JYJ,찾았다,성균관 스캔들 (Original Soundtrack),,2026-08-28 14:20
61,2010,시크릿 가든,김주원 · 길라임,현빈 · 하지원,그 남자,현빈,현빈,그 남자,"시크릿가든 (Original Television Soundtrack), Pt. 5",,2026-08-28 14:20
62,2010,신데렐라 언니,송은조 · 홍기훈,문근영 · 천정명,너 아니면 안돼,예성,예성,너 아니면 안돼,신데렐라 언니 (Original Television Soundtrack),,2026-08-28 14:20
63,2010,자이언트,이강모 · 황정연,이범수 · 박진희,그대가,이카,이카,그대가,자이언트 (Original Soundtrack),,2026-08-28 14:20
64,2010,추노,이대길 · 언년이,장혁 · 이다해,낙인,임재범,임재범,낙인,추노 (Original Television Soundtrack),,2026-08-28 14:20
65,2010,파스타,최현욱 · 서유경,이선균 · 공효진,귀여운 넌,정아,정아,귀여운 넌,파스타 (Original Soundtrack) Part.2 - EP,,2026-08-28 14:20
66,2011,공주의 남자,김승유 · 이세령,박시후 · 문채원,기다릴게,하동균 & 이정,하동균 & 이정,기다릴게,공주의남자 (Original Television Soundtrack),,2026-08-28 14:20
67,2011,드림하이,송삼동 · 고혜미,김수현 · 배수지,사랑하면 안될까,창민 & 정진운,창민 & 정진운,사랑하면 안될까,드림하이 (Original Television Soundtrack),,2026-08-28 14:20
68,2011,마이 프린세스,박해영 · 이설,송승헌 · 김태희,그 사람을 아껴요,양요섭,양요섭,그 사람을 아껴요,"마이 프린세스, Pt. 2 (Original Soundtrack)",,2026-08-28 14:20
