번호,첫방영연도,작품,배역,배우,곡명,가수,iTunes가수,iTunes곡명,음반,음반연도,판
148,2018,뷰티 인사이드,서도재 · 한세계,이민기 · 서현진,내 생에 아름다운,케이윌,케이윌,내 생에 아름다운,뷰티 인사이드 (Original Television Soundtrack),,2026-08-28 14:20
149,2018,스위치 세상을 바꿔라,사도찬 · 오하라,장근석 · 한예리,Crazy,틴탑,틴탑,Crazy,스위치 - 세상을 바꿔라 (Original Soundtrack),,2026-08-28 14:20
150,2018,시크릿 마더,김윤진 · 김소연,송윤아 · 김소연,Nothing,카더가든,카더가든,Nothing,시크릿 마더 (Original Soundtrack) Part.1 - Single,,2026-08-28 14:20
151,2018,알함브라 궁전의 추억,유진우 · 정희주,현빈 · 박신혜,별 (Little Prince),로꼬 & 유성은,로꼬 & 유성은,별 (Little Prince),알함브라 궁전의 추억 (Original Television Soundtrack),,2026-08-28 14:20
152,2018,훈남정음,강훈남 · 유정음,남궁민 · 황정음,너 아니면,허각,허각,너 아니면,"훈남정음 (Original Television Soundtrack), Pt. 4 - Single",,2026-08-28 14:20
153,2019,검색어를 입력하세요 WWW,배타미 · 박모건,임수정 · 장기용,우리 사이 은하수를 만들어,오존,오존,우리 사이 은하수를 만들어,"검색어를 입력하세요 WWW, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
154,2019,동백꽃 필 무렵,황용식 · 오동백,강하늘 · 공효진,영화 속에 나오는 주인공처럼,펀치,펀치,영화 속에 나오는 주인공처럼,"동백꽃 필 무렵 (KBS2 수목드라마) [Original Television Soundtrack], Pt.6 - Single",,2026-08-28 14:20
155,2019,로맨스는 별책부록,차은호 · 강단이,이종석 · 이나영,나는 볼 수 없던 이야기,잔나비,잔나비,나는 볼 수 없던 이야기,"로맨스는 별책부록 (Original Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
156,2019,멜로가 체질,임진주 · 손범수,천우희 · 안재홍,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 (Original Television Soundtrack),,2026-08-28 14:20
157,2019,배가본드,차달건 · 고해리,이승기 · 배수지,Vagabond,하현우,하현우,Vagabond,배가본드 (Original Television Soundtrack),,2026-08-28 14:20
158,2019,사랑의 불시착,리정혁 · 윤세리,현빈 · 손예진,다시 난 여기,백예린,백예린,"다시 난, 여기",사랑의 불시착 (Original Television Soundtrack),,2026-08-28 14:20
159,2019,아름다운 세상,박무진 · 강인하,박희순 · 추자현,Over the Moon,하은 & 한빈,하은 & 한빈,Over the Moon,아름다운 세상 (Original Soundtrack),,2026-08-28 14:20
160,2019,아스달 연대기,타곤 · 탄야,장동건 · 김지원,대제관 니르하시여!,이루리,이루리,대제관 니르하시여!,아스달 연대기 (Original Television Soundtrack),,2026-08-28 14:20
161,2019,열혈사제,김해일 · 박경선,김남길 · 이하늬,우리동네 HERO,노라조,노라조,우리동네 HERO,열혈사제 (Original Soundtrack) Part.1 - Single,,2026-08-28 14:20
162,2019,왕이 된 남자,하선 · 유소운,여진구 · 이세영,니 곁이라면,성시경,성시경,니 곁이라면,"왕이 된 남자 (Original Television Soundtrack), Pt. 6 - Single",,2026-08-28 14:20
163,2019,왜그래 풍상씨,이풍상 · 간분실,유준상 · 신동미,너무 아픈 사랑은 사랑이 아니었음을,박새별,박새별,너무 아픈 사랑은 사랑이 아니었음을,"왜그래 풍상씨 (Original Television Soundtrack), Pt.4 - Single",,2026-08-28 14:20
164,2019,초콜릿,이강 · 문차영,윤계상 · 하지원,그저 바라본다,에일리,에일리,그저 바라본다,"초콜릿, Pt.5 (Original Television Soundtrack) - Single",,2026-08-28 14:20
165,2019,퍼퓸,민재희 · 서이도,하재숙 · 신성록,퍼퓸 (Perfume of love),바버렛츠,바버렛츠,퍼퓸 (Perfume of love),"퍼퓸 (Original Television Soundtrack), Pt. 6 - Single",,2026-08-28 14:20
166,2019,해치,이금 · 여지,정일우 · 고아라,바람이 전하는 이야기,전우성,전우성,바람이 전하는 이야기,해치 (Original Soundtrack) Part.2 - Single,,2026-08-28 14:20
167,2019,호텔 델루나,구찬성 · 장만월,여진구 · 아이유,그대라는 시,태연,태연,그대라는 시,호텔 델루나 (Original Soundtrack) Pt. 3 - Single,,2026-08-28 14:20
168,2020,낭만닥터 김사부 2,부용주 · 서우진,한석규 · 안효섭,너를 사랑하고 있어,백현,백현,너를 사랑하고 있어,낭만닥터 김사부 2 (Original Television Soundtrack),,2026-08-28 14:20
169,2020,더 킹 영원의 군주,이곤 · 정태을,이민호 · 김고은,I Just Want To Stay With You,Zion.T,Zion.T,I Just Want To Stay With You,더 킹 : 영원의 군주 (Original Television Soundtrack),,2026-08-28 14:20
170,2020,부부의 세계,지선우 · 이태오,김희애 · 박해준,사랑했던 날들,백지영,백지영,사랑했던 날들,"부부의 세계, Pt. 6 (Original Television Soundtrack) - Single",,2026-08-28 14:20
171,2020,사이코지만 괜찮아,문강태 · 고문영,김수현 · 서예지,더 많이 사랑한 쪽이 아프대,헤이즈,헤이즈,더 많이 사랑한 쪽이 아프대,"사이코지만 괜찮아 (Original Television Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
172,2020,스타트업,남도산 · 서달미,남주혁 · 배수지,미래,레드벨벳,레드벨벳,미래,"스타트업 (Original Television Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
173,2020,슬기로운 의사생활,이익준 · 채송화,조정석 · 전미도,아로하,조정석,조정석,아로하,"슬기로운 의사생활, Pt. 3 (Original Television Soundtrack) - Single",,2026-08-28 14:20
174,2020,쌍갑포차,월주 · 한강배,황정음 · 육성재,사랑은 추억을 닮아서,육성재,육성재,사랑은 추억을 닮아서,"쌍갑포차, Pt. 2 (Original Television Soundtrack) - Single",,2026-08-28 14:20
175,2020,여신강림,이수호 · 임주경,차은우 · 문가영,Call Me Maybe,사야,사야,Call Me Maybe,여신강림 (Original Television Soundtrack),,2026-08-28 14:20
176,2020,이태원 클라쓰,박새로이 · 조이서,박서준 · 김다미,시작,가호,가호,시작,ITAEWON CLASS (Original Television Soundtrack) Pt. 2 - Single,,2026-08-28 14:20
177,2020,청춘기록,사혜준 · 안정하,박보검 · 박소담,청춘기록,자넷서,자넷서,청춘기록,청춘기록 (Original Television Soundtrack),,2026-08-28 14:20
178,2020,출사표,구세라 · 서공명,나나 · 박성훈,봄꽃,츄,츄,봄꽃,출사표(Original Television Soundtrack),,2026-08-28 14:20
179,2020,카이로스,김서진 · 한애리,신성록 · 이세영,흩어져가,김태현,김태현,"카이로스 (Original Television Soundtrack, Pt. 6)","카이로스 (Original Television Soundtrack, Pt. 6) - Single",,2026-08-28 14:20
180,2020,편의점 샛별이,최대현 · 정샛별,지창욱 · 김유정,잠이 오지 않는 밤에,로시,로시,잠이 오지 않는 밤에,"편의점 샛별이 (Original Television Soundtrack), Special",,2026-08-28 14:20
181,2021,갯마을 차차차,홍두식 · 윤혜진,김선호 · 신민아,로맨틱 선데이,카더가든,카더가든,로맨틱 선데이,"갯마을 차차차, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
182,2021,그 해 우리는,최웅 · 국연수,최우식 · 김다미,서랍,10CM,10CM,서랍,그 해 우리는 (Original Television Soundtrack) Special,,2026-08-28 14:20
183,2021,라켓소년단,윤해강 · 한세윤,탕준상 · 이재인,지금처럼,더보이즈,더보이즈,지금처럼,"라켓소년단 (Original Television Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
184,2021,마우스,정바름 · 고무치,이승기 · 이희준,괜찮아,소정,이소정,괜찮아,"마우스 (Original Television Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
185,2021,마이 네임,윤지우 · 무진,한소희 · 박희순,My Name (feat. Swervy & JEMINN),황상준,황상준,My Name (feat. Swervy & JEMINN),마이 네임 (Original Soundtrack from the Netflix Series),,2026-08-28 14:20
186,2021,모범택시,김도기 · 강하나,이제훈 · 이솜,모범택시,김성율,김성율,모범택시,모범택시 (Original Soundtrack),,2026-08-28 14:20
187,2021,빈센조,빈센조 까사노 · 홍차영,송중기 · 전여빈,I'm Always by Your Side,존박,존박,I′m Always by Your Side,"빈센조, Pt. 6 (Original Television Soundtrack) - Single",,2026-08-28 14:20
188,2021,슬기로운 의사생활 시즌2,이익준 · 채송화,조정석 · 전미도,비와 당신,이무진,이무진,비와 당신,슬기로운 의사생활 시즌2 (Original Television Soundtrack),,2026-08-28 14:20
189,2021,신사와 아가씨,이영국 · 박단단,지현우 · 이세희,신사와 아가씨,최철호 & 오혜주,최철호 & 오혜주,신사와 아가씨,신사와 아가씨 (Original Television Soundtrack) Special Score,,2026-08-28 14:20
190,2021,어느 날 우리 집 현관으로,김사람 · 탁동경,서인국 · 박보영,널 보면 시간이 멈춰 어느 순간에도,투모로우바이투게더,투모로우바이투게더,널 보면 시간이 멈춰 어느 순간에도,"어느 날 우리 집 현관으로 멸망이 들어왔다 (Original Television Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
191,2021,엉클,왕준혁 · 왕준희,오정세 · 전혜진,Be your side,추상민,추상민,Be your side,엉클 (Original Television Soundtrack),,2026-08-28 14:20
192,2021,오징어 게임,성기훈 · 강새벽,이정재 · 정호연,Pink Soldiers,김성수,김성수,Pink Soldiers,오징어게임 (Original Soundtrack from The Netflix Series),,2026-08-28 14:20
193,2021,옷소매 붉은 끝동,이산 · 성덕임,이준호 · 이세영,바라고 바라,휘인,휘인,바라고 바라,"옷소매 붉은 끝동 (Original Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
194,2021,유미의 세포들,유미 · 구웅,김고은 · 안보현,나를 신경 쓰고 있는 건가,웬디,웬디,나를 신경 쓰고 있는 건가,유미의 세포들 (Original Television Soundtrack),,2026-08-28 14:20
195,2021,지금 헤어지는 중입니다,하영은 · 윤재국,송혜교 · 장기용,지금 헤어지는 중입니다,허상은 & 박영익,허상은 & 박영익,지금 헤어지는 중입니다,"지금, 헤어지는 중입니다 (Original Soundtrack)",,2026-08-28 14:20
196,2021,해피니스,윤새봄 · 정이현,한효주 · 박형식,Some Day,Joe Layne,Joe Layne,Some Day,해피니스 (Original Television Soundtrack),,2026-08-28 14:20
197,2021,홍천기,홍천기 · 하람,김유정 · 안효섭,나인가요,백현,백현,"나인가요 (From ""홍천기"")",홍천기 (Original Soundtrack) Part.1 - Single,,2026-08-28 14:20
198,2022,군검사 도베르만,도배만 · 차우인,안보현 · 조보아,도베르만,하현우,하현우,도베르만,군검사 도베르만 (Original Television Soundtrack),,2026-08-28 14:20
199,2022,금수저,이승천 · 나주희,육성재 · 정채연,이제 시작이야,민경훈,민경훈,이제 시작이야,금수저 (Original Television Soundtrack),,2026-08-28 14:20
200,2022,기상청 사람들,진하경 · 이시우,박민영 · 송강,이상기후,기리보이,기리보이,이상기후,기상청 사람들 : 사내연애 잔혹사 편 (Original Television Soundtrack) Special,,2026-08-28 14:20
201,2022,당신이 소원을 말하면,윤겨레 · 유연주,지창욱 · 최수영,너와 나 사이,태연,태연,너와 나 사이,"당신이 소원을 말하면 (Original Soundtrack), Pt. 9 - Single",,2026-08-28 14:20
202,2022,더 글로리,문동은 · 주여정,송혜교 · 이도현,후회,김태진,김태진,후회,"더 글로리, Pt. 2 (Original Soundtrack from the Netflix Series)",,2026-08-28 14:20
203,2022,법대로 사랑하라,김정호 · 김유리,이승기 · 이세영,별이 빛나는 오늘 밤에,펀치,펀치,별이 빛나는 오늘 밤에,법대로 사랑하라 (Original Television Soundtrack) Special,,2026-08-28 14:20
204,2022,사내맞선,강태무 · 신하리,안효섭 · 김세정,사랑인가 봐,멜로망스,멜로망스,사랑인가 봐,사내맞선 (Original Soundtrack),,2026-08-28 14:20
205,2022,살인자의 쇼핑목록,이대성 · 도아희,이광수 · 김설현,살인자의 쇼핑목록 Title,조인호,조인호,살인자의 쇼핑목록 Title,살인자의 쇼핑목록 (Original Soundtrack),,2026-08-28 14:20
206,2022,소년심판,심은석 · 차태주,김혜수 · 김무열,Shchedryk,INNI,INNI,Shchedryk,소년심판 (Original Soundtrack),,2026-08-28 14:20
207,2022,스물다섯 스물하나,백이진 · 나희도,남주혁 · 김태리,"아주, 천천히",비비,비비,"아주, 천천히","스물다섯 스물하나, Pt. 3 (Original Television Soundtrack) - Single",,2026-08-28 14:20
208,2022,왜 오수재인가,오수재 · 공찬,서현진 · 황인엽,I'm here,이소정,이소정,I'm here,왜 오수재인가 (Originaal Television Soundtrack),,2026-08-28 14:20
209,2022,우리들의 블루스,이동석 · 민선아,이병헌 · 신민아,With You,지민,지민 & 하성운,With You,우리들의 블루스 (Original Television Soundtrack),,2026-08-28 14:20
210,2022,이상한 변호사 우영우,우영우 · 이준호,박은빈 · 강태오,상상,선우정아,선우정아,상상,이상한 변호사 우영우 (Original Television Soundtrack) Pt. 2 - Single,,2026-08-28 14:20
211,2022,재벌집 막내아들,진도준 · 서민영,송중기 · 신현빈,기적 같은 너,폴킴,폴킴,기적 같은 너,재벌집 막내아들 (Original Soundtrack),,2026-08-28 14:20
212,2022,천원짜리 변호사,천지훈 · 백마리,남궁민 · 김지은,천원짜리 변호사,김경호,김경호,천원짜리 변호사,천원짜리 변호사 (Original Soundtrack),,2026-08-28 14:20
213,2022,환혼,장욱 · 무덕이,이재욱 · 정소민,바라만 본다,정세운,정세운,바라만 본다,"환혼, Pt. 3 (Original Television Soundtrack) - Single",,2026-08-28 14:20
214,2023,국민사형투표,김무찬 · 주현,박해진 · 임지연,The Last Vote,구자완,구자완,The Last Vote,국민사형투표 (Original Soundtrack),,2026-08-28 14:20
215,2023,나쁜엄마,최강호 · 영순,이도현 · 라미란,다시 사랑할 수 있게,멜로망스,멜로망스,다시 사랑할 수 있게,나쁜엄마 (Original Television Soundtrack),,2026-08-28 14:20
216,2023,낭만닥터 김사부 3,부용주 · 차은재,한석규 · 이성경,Hello,백현,백현,Hello,"낭만닥터 김사부 3 (Original Television Soundtrack), Pt.1 - Single",,2026-08-28 14:20
217,2023,낮에 뜨는 달,한준오 · 강영화,김영대 · 표예진,낮에 뜨는 달,불꽃심장,안예은,낮에 뜨는 달,낮에 뜨는 달 - Single,,2026-08-28 14:20
218,2023,대행사,고아인 · 강한나,이보영 · 손나은,You,권진아,권진아,You,대행사 (Original Television Soundtrack),,2026-08-28 14:20
219,2023,도적 칼의 소리,이윤 · 남희신,김남길 · 서현,Bandit,태일,태일,Bandit,도적: 칼의 소리 (Music from The Netflix Series) - EP,,2026-08-28 14:20
220,2023,마이 데몬,정구원 · 도도희,송강 · 김유정,우리의 밤은 당신의 낮보다 아름답다,뉴진스,뉴진스,우리의 밤은 당신의 낮보다 아름답다,"마이데몬, Pt. 1 (Original Soundtrack) - Single",,2026-08-28 14:20
221,2023,반짝이는 워터멜론,은결 · 이찬,려운 · 최현욱,반짝이는 그대에게,정준일,정준일,반짝이는 그대에게,반짝이는 워터멜론 (Original Television Soundtrack) Pt. 1 - Single,,2026-08-28 14:20
222,2023,보라 데보라,박데보라 · 이수혁,유인나 · 윤현민,"우연히, 사랑",구준회,구준회,"우연히, 사랑",보라! 데보라 (Original Soundtrack),,2026-08-28 14:20
223,2023,악귀,구산영 · 염해상,김태리 · 오정세,숨,선우정아,선우정아,숨,악귀 (Original Soundtrack) Pt.4 - Single,,2026-08-28 14:20
224,2023,웰컴투 삼달리,조용필 · 조삼달,지창욱 · 신혜선,꿈,태연,태연,꿈,"웰컴투 삼달리 (Original Television Soundtrack), Pt.3 - Single",,2026-08-28 14:20
225,2023,이번 생도 잘 부탁해,반지음 · 문서하,신혜선 · 안보현,Secret,옐로,옐로,Secret,이번 생도 잘 부탁해 (Original Television Soundtrack),,2026-08-28 14:20
226,2023,이재 곧 죽습니다,최이재 · 죽음,서인국 · 박소담,거짓말인데,Sondia,Sondia,거짓말인데,"이재, 곧 죽습니다 (Original Television Soundtrack), Pt.1 - Single",,2026-08-28 14:20
227,2023,일타 스캔들,최치열 · 남행선,정경호 · 전도연,반대편,이적,이적,반대편,"일타 스캔들, Pt. 3 (Original Television Soundtrack) - Single",,2026-08-28 14:20
228,2023,킹더랜드,구원 · 천사랑,이준호 · 임윤아,Keep Me Busy,펀치,펀치,Keep Me Busy,"킹더랜드 (Original Television Soundtrack), Pt.5 - Single",,2026-08-28 14:20
229,2024,낮과 밤이 다른 그녀,이미진 · 계지웅,정은지 · 최진혁,Lucky Charm,보이넥스트도어,보이넥스트도어,Lucky Charm,"낮과 밤이 다른 그녀 (Original Television Soundtrack), Pt. 3 - Single",,2026-08-28 14:20
230,2024,눈물의 여왕,백현우 · 홍해인,김수현 · 김지원,미안해 미워해 사랑해,Crush,Crush,미안해 미워해 사랑해,"눈물의 여왕 (Original Television Soundtrack), Pt.4 - Single",,2026-08-28 14:20
231,2024,밤에 피는 꽃,조여화 · 박수호,이하늬 · 이종원,내 사랑 내 곁에,Zeenan,Zeenan,내 사랑 내 곁에,밤에 피는 꽃 (Original Soundtrack) Pt.1 - Single,,2026-08-28 14:20
232,2024,백설공주에게 죽음을,고정우 · 노상철,변요한 · 고준,Endless Night,김현도,김현도,Endless Night,백설공주에게 죽음을-Black Out (Original TV Series Soundtrack),,2026-08-28 14:20
233,2024,선재 업고 튀어,류선재 · 임솔,변우석 · 김혜윤,소나기,이클립스,이클립스,소나기,"선재 업고 튀어, Pt. 1 (Original Soundtrack)",,2026-08-28 14:20
234,2024,수사반장 1958,박영한 · 김상순,이제훈 · 이동휘,수사반장 (1958),윤용남,윤용남,수사반장 (1958),수사반장 1958 (Original Television Soundtrack),,2026-08-28 14:20
235,2024,엄마친구아들,배석류 · 최승효,정소민 · 정해인,꺼내지 못한 말,정해인,정해인,꺼내지 못한 말,엄마친구아들 (Original Soundtrack),,2026-08-28 14:20
236,2024,열혈사제 2,김해일 · 박경선,김남길 · 이하늬,멈추지 않아,PLAVE,PLAVE,멈추지 않아,열혈사제2 (Original Soundtrack) Part.2 - Single,,2026-08-28 14:20
237,2024,정년이,윤정년 · 허영서,김태리 · 신예은,"위에선 한나라가, 누굴까 그 사람",매란국극단,매란국극단,"위에선 한나라가, 누굴까 그 사람","정년이, Pt. 4 : 목포의 청춘&자명고 (Original Soundtrack)",,2026-08-28 14:20
238,2024,지금 거신 전화는,백사언 · 홍희주,유연석 · 채수빈,See The Light,임현식,임현식,See The Light,지금 거신 전화는 (Original Soundtrack),,2026-08-28 14:20
239,2024,커넥션,장재경 · 오윤진,지성 · 전미도,The Day,설호승,설호승,The Day,"커넥션, Pt. 1 (Original Soundtrack) - Single",,2026-08-28 14:20
240,2024,하이드,나문영 · 차성재,이보영 · 이무생,서약,제이세라,제이세라,서약,"피도 눈물도 없이  (Original Television Soundtrack), Pt. 9 - Single",,2026-08-28 14:20
241,2025,견우와 선녀,박견우 · 성선녀,추영우 · 조이현,안녕,추영우,추영우,안녕,"견우와 선녀, Pt. 3 (Original Soundtrack) - Single",,2026-08-28 14:20
242,2025,귀궁,여리 · 강철,육성재 · 김지연,귀궁,이규옥,이규옥,귀궁,귀궁 : Original Television Soundtrack,,2026-08-28 14:20
243,2025,언더커버 하이스쿨,정해성 · 오수아,서강준 · 진기주,내 이름을 불러줘,한경수,한경수,내 이름을 불러줘,언더커버 하이스쿨 (Original Soundtrack),,2026-08-28 14:20
244,2025,폭싹 속았수다,양관식 · 오애순,박보검 · 아이유,밤 산책,아이유,아이유,밤 산책,폭싹 속았수다 (Original Soundtrack from the Netflix Series) - 3막 - Single,,2026-08-28 14:20
