번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
163,2021,홍천기,홍천기,김유정,하람,안효섭,백현,"나인가요 (From ""홍천기"")",백현,"나인가요 (From ""홍천기"")",홍천기 (Original Soundtrack) Part.1 - Single
164,2022,군검사 도베르만,도배만,안보현,차우인,조보아,하현우,도베르만,하현우,도베르만,군검사 도베르만 (Original Television Soundtrack)
165,2022,금수저,이승천,육성재,나주희,정채연,민경훈,이제 시작이야,민경훈,이제 시작이야,금수저 (Original Television Soundtrack)
166,2022,기상청 사람들,진하경,박민영,이시우,송강,기리보이,이상기후,기리보이,이상기후,기상청 사람들 : 사내연애 잔혹사 편 (Original Television Soundtrack) Special
167,2022,당신이 소원을 말하면,윤겨레,지창욱,유연주,최수영,태연,너와 나 사이,태연,너와 나 사이,"당신이 소원을 말하면 (Original Soundtrack), Pt. 9 - Single"
168,2022,법대로 사랑하라,김정호,이승기,김유리,이세영,펀치,별이 빛나는 오늘 밤에,펀치,별이 빛나는 오늘 밤에,법대로 사랑하라 (Original Television Soundtrack) Special
169,2022,사내맞선,강태무,안효섭,신하리,김세정,멜로망스,사랑인가 봐,멜로망스,사랑인가 봐,사내맞선 (Original Soundtrack)
170,2022,살인자의 쇼핑목록,이대성,이광수,도아희,김설현,조인호,살인자의 쇼핑목록 Title,조인호,살인자의 쇼핑목록 Title,살인자의 쇼핑목록 (Original Soundtrack)
171,2022,소년심판,심은석,김혜수,차태주,김무열,INNI,Shchedryk,INNI,Shchedryk,소년심판 (Original Soundtrack)
172,2022,스물다섯 스물하나,백이진,남주혁,나희도,김태리,비비,"아주, 천천히",비비,"아주, 천천히","스물다섯 스물하나, Pt. 3 (Original Television Soundtrack) - Single"
173,2022,신사와 아가씨,이영국,지현우,박단단,이세희,최철호 & 오혜주,신사와 아가씨,최철호 & 오혜주,신사와 아가씨,신사와 아가씨 (Original Television Soundtrack) Special Score
174,2022,왜 오수재인가,오수재,서현진,공찬,황인엽,이소정,I'm here,이소정,I'm here,왜 오수재인가 (Originaal Television Soundtrack)
175,2022,우리들의 블루스,이동석,이병헌,민선아,신민아,지민,With You,지민 & 하성운,With You,우리들의 블루스 (Original Television Soundtrack)
176,2022,유미의 세포들,유미,김고은,구웅,안보현,웬디,나를 신경 쓰고 있는 건가,웬디,나를 신경 쓰고 있는 건가,유미의 세포들 (Original Television Soundtrack)
177,2022,이상한 변호사 우영우,우영우,박은빈,이준호,강태오,선우정아,상상,선우정아,상상,이상한 변호사 우영우 (Original Television Soundtrack) Pt. 2 - Single
178,2022,재벌집 막내아들,진도준,송중기,서민영,신현빈,폴킴,기적 같은 너,폴킴,기적 같은 너,재벌집 막내아들 (Original Soundtrack)
179,2022,천원짜리 변호사,천지훈,남궁민,백마리,김지은,김경호,천원짜리 변호사,김경호,천원짜리 변호사,천원짜리 변호사 (Original Soundtrack)
180,2022,환혼,장욱,이재욱,무덕이,정소민,정세운,바라만 본다,정세운,바라만 본다,"환혼, Pt. 3 (Original Television Soundtrack) - Single"
181,2023,국민사형투표,김무찬,박해진,주현,임지연,구자완,The Last Vote,구자완,The Last Vote,국민사형투표 (Original Soundtrack)
182,2023,나쁜엄마,최강호,이도현,영순,라미란,멜로망스,다시 사랑할 수 있게,멜로망스,다시 사랑할 수 있게,나쁜엄마 (Original Television Soundtrack)
183,2023,낭만닥터 김사부 3,부용주,한석규,차은재,이성경,백현,Hello,백현,Hello,"낭만닥터 김사부 3 (Original Television Soundtrack), Pt.1 - Single"
184,2023,낮에 뜨는 달,한준오,김영대,강영화,표예진,불꽃심장,낮에 뜨는 달,안예은,낮에 뜨는 달,낮에 뜨는 달 - Single
185,2023,대행사,고아인,이보영,강한나,손나은,권진아,You,권진아,You,대행사 (Original Television Soundtrack)
186,2023,더 글로리,문동은,송혜교,주여정,이도현,김태진,후회,김태진,후회,"더 글로리, Pt. 2 (Original Soundtrack from the Netflix Series)"
187,2023,도적 칼의 소리,이윤,김남길,남희신,서현,태일,Bandit,태일,Bandit,도적: 칼의 소리 (Music from The Netflix Series) - EP
188,2023,마이 데몬,정구원,송강,도도희,김유정,뉴진스,우리의 밤은 당신의 낮보다 아름답다,뉴진스,우리의 밤은 당신의 낮보다 아름답다,"마이데몬, Pt. 1 (Original Soundtrack) - Single"
189,2023,반짝이는 워터멜론,은결,려운,이찬,최현욱,정준일,반짝이는 그대에게,정준일,반짝이는 그대에게,반짝이는 워터멜론 (Original Television Soundtrack) Pt. 1 - Single
190,2023,보라 데보라,박데보라,유인나,이수혁,윤현민,구준회,"우연히, 사랑",구준회,"우연히, 사랑",보라! 데보라 (Original Soundtrack)
191,2023,악귀,구산영,김태리,염해상,오정세,선우정아,숨,선우정아,숨,악귀 (Original Soundtrack) Pt.4 - Single
192,2023,웰컴투 삼달리,조용필,지창욱,조삼달,신혜선,태연,꿈,태연,꿈,"웰컴투 삼달리 (Original Television Soundtrack), Pt.3 - Single"
193,2023,이번 생도 잘 부탁해,반지음,신혜선,문서하,안보현,옐로,Secret,옐로,Secret,이번 생도 잘 부탁해 (Original Television Soundtrack)
194,2023,이재 곧 죽습니다,최이재,서인국,죽음,박소담,Sondia,거짓말인데,Sondia,거짓말인데,"이재, 곧 죽습니다 (Original Television Soundtrack), Pt.1 - Single"
195,2023,일타 스캔들,최치열,정경호,남행선,전도연,이적,반대편,이적,반대편,"일타 스캔들, Pt. 3 (Original Television Soundtrack) - Single"
196,2023,킹더랜드,구원,이준호,천사랑,임윤아,펀치,Keep Me Busy,펀치,Keep Me Busy,"킹더랜드 (Original Television Soundtrack), Pt.5 - Single"
197,2024,낮과 밤이 다른 그녀,이미진,정은지,계지웅,최진혁,보이넥스트도어,Lucky Charm,보이넥스트도어,Lucky Charm,"낮과 밤이 다른 그녀 (Original Television Soundtrack), Pt. 3 - Single"
198,2024,눈물의 여왕,백현우,김수현,홍해인,김지원,Crush,미안해 미워해 사랑해,Crush,미안해 미워해 사랑해,"눈물의 여왕 (Original Television Soundtrack), Pt.4 - Single"
199,2024,밤에 피는 꽃,조여화,이하늬,박수호,이종원,Zeenan,내 사랑 내 곁에,Zeenan,내 사랑 내 곁에,밤에 피는 꽃 (Original Soundtrack) Pt.1 - Single
200,2024,백설공주에게 죽음을,고정우,변요한,노상철,고준,김현도,Endless Night,김현도,Endless Night,백설공주에게 죽음을-Black Out (Original TV Series Soundtrack)
201,2024,선재 업고 튀어,류선재,변우석,임솔,김혜윤,이클립스,소나기,이클립스,소나기,"선재 업고 튀어, Pt. 1 (Original Soundtrack)"
202,2024,수사반장 1958,박영한,이제훈,김상순,이동휘,윤용남,수사반장 (1958),윤용남,수사반장 (1958),수사반장 1958 (Original Television Soundtrack)
203,2024,엄마친구아들,배석류,정소민,최승효,정해인,정해인,꺼내지 못한 말,정해인,꺼내지 못한 말,엄마친구아들 (Original Soundtrack)
204,2024,열혈사제 2,김해일,김남길,박경선,이하늬,PLAVE,멈추지 않아,PLAVE,멈추지 않아,열혈사제2 (Original Soundtrack) Part.2 - Single
205,2024,정년이,윤정년,김태리,허영서,신예은,매란국극단,"위에선 한나라가, 누굴까 그 사람",매란국극단,"위에선 한나라가, 누굴까 그 사람","정년이, Pt. 4 : 목포의 청춘&자명고 (Original Soundtrack)"
206,2024,지금 거신 전화는,백사언,유연석,홍희주,채수빈,임현식,See The Light,임현식,See The Light,지금 거신 전화는 (Original Soundtrack)
207,2024,커넥션,장재경,지성,오윤진,전미도,설호승,The Day,설호승,The Day,"커넥션, Pt. 1 (Original Soundtrack) - Single"
208,2025,견우와 선녀,박견우,추영우,성선녀,조이현,추영우,안녕,추영우,안녕,"견우와 선녀, Pt. 3 (Original Soundtrack) - Single"
209,2025,귀궁,여리,육성재,강철,김지연,이규옥,귀궁,이규옥,귀궁,귀궁 : Original Television Soundtrack
210,2025,언더커버 하이스쿨,정해성,서강준,오수아,진기주,한경수,내 이름을 불러줘,한경수,내 이름을 불러줘,언더커버 하이스쿨 (Original Soundtrack)
211,2025,폭싹 속았수다,양관식,박보검,오애순,아이유,마마스,폭싹 속았수다,PAN:DER,폭싹 속았수다,폭싹 속았수다 - Single
