번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
42,2010,추노,이대길,장혁,언년이,이다해,임재범,낙인,임재범,낙인,추노 (Original Television Soundtrack)
43,2010,파스타,최현욱,이선균,서유경,공효진,정아,귀여운 넌,정아,귀여운 넌,파스타 (Original Soundtrack) Part.2 - EP
44,2011,공주의 남자,김승유,박시후,이세령,문채원,하동균 & 이정,기다릴게,하동균 & 이정,기다릴게,공주의남자 (Original Television Soundtrack)
45,2011,드림하이,송삼동,김수현,고혜미,배수지,창민 & 정진운,사랑하면 안될까,창민 & 정진운,사랑하면 안될까,드림하이 (Original Television Soundtrack)
46,2011,마이 프린세스,박해영,송승헌,이설,김태희,양요섭,그 사람을 아껴요,양요섭,그 사람을 아껴요,"마이 프린세스, Pt. 2 (Original Soundtrack)"
47,2011,보스를 지켜라,차지헌,지성,노은설,최강희,Apink,우리 그냥 사랑하게 해 주세요,Apink,우리 그냥 사랑하게 해주세요,보스를 지켜라 (Original Soundtrack) Part.1 - Single
48,2011,시티헌터,이윤성,이민호,김나나,박민영,종현,So Goodbye,종현,So Goodbye,시티헌터 (Original Television Soundtrack)
49,2011,최고의 사랑,독고진,차승원,구애정,공효진,써니힐,두근두근,써니힐,두근두근,최고의 사랑 (Original Television Soundtrack)
50,2012,각시탈,이강토,주원,목단,진세연,주원 & 이정현,심판의 날,주원 & 이정현,심판의 날,KBS 특별기획드라마 각시탈 (Original Sound Track)
51,2012,넝쿨째 굴러온 당신,방귀남,유준상,차윤희,김남주,걸스데이,넝쿨송,걸스데이,넝쿨송,KBS 주말드라마 넝쿨째 굴러온 당신 (Original Soundtrack) Pt. 5 - Single
52,2012,사랑비,서준,장근석,정하나,윤아,장근석,사랑비,장근석,사랑비,사랑비 (Original Soundtrack)
53,2012,아랑사또전,아랑,신민아,은오,이준기,박요한,서털구털,박요한,서털구털,아랑사또전 (Original Television Soundtrack)
54,2012,옥탑방 왕세자,이각,박유천,박하,한지민,알리,상처,알리,상처,옥탑방 왕세자 (Original Soundtrack) Part.1 - EP
55,2012,응답하라 1997,윤윤제,서인국,성시원,정은지,서인국,All For You,서인국 & 정은지,All for You,"응답하라 1997 - Love Story, Pt. 1 (Original Television Soundtrack) - Single"
56,2012,해를 품은 달,이훤,김수현,허연우,한가인,린,시간을 거슬러,린,시간을 거슬러,MBC 드라마 해를 품은 달 OST (Special Edition)
57,2012,해운대 연인들,이태성,김강우,소라,조여정,Nam Gyu Ri,해운대 연인들,Nam Gyu Ri,해운대 연인들,해운대 연인들 (Original Soundtrack)
58,2013,구가의 서,최강치,이승기,담여울,배수지,박세준,구가의 서,박세준,구가의 서,구가의 서 (Original Television Soundtrack)
