번호,발매연도,가수,곡,실제매칭가수,실제매칭곡,앨범,앨범연도
70,1994,신승훈,그 후로 오랫동안,신승훈,그 후로 오랫동안,그 후로 오랫동안...,1994
71,1994,투투,일과 이분의 일,투투,일과 이분의 일,투투(Two Two) 일과 이분의 일,1994
72,1995,DJ DOC,머피의 법칙,DJ DOC,머피의 법칙,머피의 법칙,1995
73,1995,R.ef,이별공식,R.ef,이별 공식,Rave Effect,1995
74,1995,김건모,잘못된 만남,김건모,잘못된 만남,Wrongful Meeting,1995
75,1995,노이즈,상상속의 너,노이즈,상상속의 너,Fantasized You,1995
76,1995,룰라,날개 잃은 천사,룰라,날개 잃은 천사,날개 잃은 천사,1995
77,1995,박미경,이브의 경고,박미경,이브의 경고 (2009 Remastering),2010 Deluxe Edition,1995
78,1995,서태지와 아이들,컴백홈,서태지와 아이들,Come Back Home,Seotaiji and Boys IV,1995
79,1995,이승환,천일동안,이승환,천일동안,Human,1995
80,1995,터보,나 어릴적 꿈,터보,나 어릴적 꿈,280km / h speed,1995
81,1996,DJ DOC,겨울 이야기,DJ DOC,겨울 이야기,Season‘s Greeting,2000
82,1996,H.O.T.,전사의 후예,H.O.T.,전사의 후예 - 폭력시대,We Hate All Kinds of Violence... - The 1st Album,1996
83,1996,H.O.T.,캔디,H.O.T.,Candy,We Hate All Kinds of Violence... - The 1st Album,1996
84,1996,김건모,스피드,김건모,스피드,Exchange Kg. M4,1996
85,1996,박진영,그녀는 예뻤다,박진영,그녀는 예뻤다,썸머징글벨,1996
86,1996,양파,애송이의 사랑,yangpa,애송이의 사랑,Yangpa,1996
87,1996,언타이틀,책임져,언타이틀,책임져,무제 (無題),1996
88,1996,쿨,운명,쿨,운명,Destined For the Best,1996
89,1996,클론,꿍따리 샤바라,클론,꿍따리 샤바라,Are You Ready?,1996
90,1997,H.O.T.,We are the Future,H.O.T.,We Are the Future,Wolf & Sheeps - The 2nd Album,1997
91,1997,H.O.T.,행복,H.O.T.,행복,Wolf & Sheeps - The 2nd Album,1997
92,1997,S.E.S.,I'm Your Girl,S.E.S.,I'm Your Girl,S.E.S. - The 1st Album,1997
93,1997,젝스키스,폼생폼사,젝스키스,사나이 가는 길 (폼생폼사),학원별곡,1997
94,1997,젝스키스,학원별곡,젝스키스,학원별곡,학원별곡,1997
95,1998,S.E.S.,Dreams Come True,S.E.S.,Dreams Come True,Sea & Eugene & Shoo - The 2nd Album,1998
96,1998,S.E.S.,너를 사랑해,S.E.S.,너를 사랑해,Sea & Eugene & Shoo - The 2nd Album,1998
97,1998,김현정,그녀와의 이별,김현정,그녀와의 이별,Legend,1997
98,1998,유승준,나나나,유승준,나나나,1998 V2: For Sale (NONE),1998
99,1998,젝스키스,커플,젝스키스,커플,Special,1998
100,1998,조성모,To Heaven,조성모,To Heaven,To Heaven,1998
101,1998,조성모,불멸의 사랑,조성모,불멸의 사랑,To Heaven,1998
102,1998,코요태,순정,코요태,순정,순정,1998
103,1998,쿨,애상,쿨,애상,Cool 4,1998
104,1998,핑클,블루레인,핑클,Blue Rain,Fine Killing Liberty : Blue Rain,1998
105,1998,핑클,내 남자친구에게,핑클,내 남자 친구에게,Fine Killing Liberty : Blue Rain,1998
106,1998,핑클,루비,핑클,루비 (Live),Fin.K.L First Concert (Live in 1999),1999
107,1999,god,어머님께,지오디,어머님께,Chapter 1,1998
108,1999,god,사랑해 그리고 기억해,지오디,사랑해 그리고 기억해,Chapter 2,1999
109,1999,드렁큰타이거,너희가 힙합을 아느냐,드렁큰타이거,너희가 힙합을 아느냐?,Year of the Tiger,1999
110,1999,베이비복스,Killer,베이비복스,Killer,Come Come Come baby,1997
